"ParkName","ParkType","Region","State","Year","Month","lat","long","cost","logVisits","laglogVisits","laglogVisitsYear"
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2010,"1",37.5858662,-85.67330523,0,8.26333266743997,NA,NA
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2010,"2",37.5858662,-85.67330523,0,8.55024104546244,8.26333266743997,NA
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2010,"3",37.5858662,-85.67330523,0,8.99404829561107,8.55024104546244,NA
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2010,"4",37.5858662,-85.67330523,0,9.80802236071806,8.99404829561107,NA
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2010,"5",37.5858662,-85.67330523,0,9.86739394488789,9.80802236071806,NA
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2010,"6",37.5858662,-85.67330523,0,10.0986019311288,9.86739394488789,NA
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2010,"7",37.5858662,-85.67330523,0,10.2843183796859,10.0986019311288,NA
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2010,"8",37.5858662,-85.67330523,0,9.99606673382922,10.2843183796859,NA
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2010,"9",37.5858662,-85.67330523,0,10.0089280649941,9.99606673382922,NA
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2010,"10",37.5858662,-85.67330523,0,9.56563436283798,10.0089280649941,NA
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2010,"11",37.5858662,-85.67330523,0,8.774622220697,9.56563436283798,NA
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2010,"12",37.5858662,-85.67330523,0,8.3150770072941,8.774622220697,NA
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2011,"1",37.5858662,-85.67330523,0,7.88004820097158,8.3150770072941,8.26333266743997
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2011,"2",37.5858662,-85.67330523,0,8.20193435119422,7.88004820097158,8.55024104546244
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2011,"3",37.5858662,-85.67330523,0,8.97790377375038,8.20193435119422,8.99404829561107
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2011,"4",37.5858662,-85.67330523,0,9.86993076900728,8.97790377375038,9.80802236071806
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2011,"5",37.5858662,-85.67330523,0,9.7385539453434,9.86993076900728,9.86739394488789
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2011,"6",37.5858662,-85.67330523,0,9.97548257970728,9.7385539453434,10.0986019311288
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2011,"7",37.5858662,-85.67330523,0,10.1743540320593,9.97548257970728,10.2843183796859
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2011,"8",37.5858662,-85.67330523,0,9.91462529694658,10.1743540320593,9.99606673382922
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2011,"9",37.5858662,-85.67330523,0,9.93154036697816,9.91462529694658,10.0089280649941
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2011,"10",37.5858662,-85.67330523,0,9.46420709593323,9.93154036697816,9.56563436283798
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2011,"11",37.5858662,-85.67330523,0,8.81848226727424,9.46420709593323,8.774622220697
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2011,"12",37.5858662,-85.67330523,0,8.4984180360899,8.81848226727424,8.3150770072941
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2012,"1",37.5858662,-85.67330523,0,8.23562571996431,8.4984180360899,7.88004820097158
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2012,"2",37.5858662,-85.67330523,0,8.50126704086598,8.23562571996431,8.20193435119422
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2012,"3",37.5858662,-85.67330523,0,9.37966111659289,8.50126704086598,8.97790377375038
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2012,"4",37.5858662,-85.67330523,0,9.717699996099,9.37966111659289,9.86993076900728
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2012,"5",37.5858662,-85.67330523,0,9.80239569097485,9.717699996099,9.7385539453434
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2012,"6",37.5858662,-85.67330523,0,10.1666976130634,9.80239569097485,9.97548257970728
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2012,"7",37.5858662,-85.67330523,0,10.150699131184,10.1666976130634,10.1743540320593
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2012,"8",37.5858662,-85.67330523,0,9.90403740134156,10.150699131184,9.91462529694658
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2012,"9",37.5858662,-85.67330523,0,9.84633502103182,9.90403740134156,9.93154036697816
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2012,"10",37.5858662,-85.67330523,0,9.43276366396591,9.84633502103182,9.46420709593323
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2012,"11",37.5858662,-85.67330523,0,8.78523362361273,9.43276366396591,8.81848226727424
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2012,"12",37.5858662,-85.67330523,0,8.46442512587758,8.78523362361273,8.4984180360899
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2013,"1",37.5858662,-85.67330523,0,8.30992298925832,8.46442512587758,8.23562571996431
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2013,"2",37.5858662,-85.67330523,0,8.16593213732158,8.30992298925832,8.50126704086598
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2013,"3",37.5858662,-85.67330523,0,9.25751017645257,8.16593213732158,9.37966111659289
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2013,"4",37.5858662,-85.67330523,0,9.41759841406017,9.25751017645257,9.717699996099
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2013,"5",37.5858662,-85.67330523,0,9.88700241627627,9.41759841406017,9.80239569097485
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2013,"6",37.5858662,-85.67330523,0,10.1556849242411,9.88700241627627,10.1666976130634
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2013,"7",37.5858662,-85.67330523,0,10.2686860674157,10.1556849242411,10.150699131184
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2013,"8",37.5858662,-85.67330523,0,9.98336101511929,10.2686860674157,9.90403740134156
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2013,"9",37.5858662,-85.67330523,0,9.963123450432,9.98336101511929,9.84633502103182
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2013,"10",37.5858662,-85.67330523,0,8.27664912542186,9.963123450432,9.43276366396591
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2013,"11",37.5858662,-85.67330523,0,9.05310159554969,8.27664912542186,8.78523362361273
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2013,"12",37.5858662,-85.67330523,0,8.28828304520769,9.05310159554969,8.46442512587758
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2014,"1",37.5858662,-85.67330523,0,7.9912539298402,8.28828304520769,8.30992298925832
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2014,"2",37.5858662,-85.67330523,0,8.44376191333035,7.9912539298402,8.16593213732158
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2014,"3",37.5858662,-85.67330523,0,9.16586588187435,8.44376191333035,9.25751017645257
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2014,"4",37.5858662,-85.67330523,0,9.9090222080346,9.16586588187435,9.41759841406017
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2014,"5",37.5858662,-85.67330523,0,10.3669385098429,9.9090222080346,9.88700241627627
"Abraham Lincoln Birthplace NHP","National Historical Park","Southeast ","KY",2014,"6",37.5858662,-85.67330523,0,10.5981086463521,10.3669385098429,10.1556849242411
